,player_id,actual_name,twitter_handle,position,height,height_inches,feet,inches,weight,shooting_hand,college,high_school,draft_team,draft_position,overall_pick,draft_round,round_pick,nba_debut,experience,nba_years,birthdate,birthyear,age,exact_age,birthplace,birthcity,birthstate,birthcountry,high_school_location,high_school_city,high_school_state,numbers,contract_terms,teams_colors,player_url,scrape_date
sivape01,sivape01,Peyton Siva,,Shooting Guard,6'0,72,6,0,185,Right,University of Louisville,Franklin,Detroit Pistons,2nd round 26th pick 56th overall,56,2,26,10/30/13,Rookie,0,10/24/90,1990,23,23y 0m 44d 6H 0M 0S,"Seattle, Washington",Seattle,Washington,USA,"Seattle, Washington",Seattle,Washington,34,,"poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff0000;-Detroit Pistons, 2014",http://www.basketball-reference.com/players/s/sivape01.html,12/7/13 15:54
sloando01,sloando01,Donald Wayne Sloan,@dsloan15,Point Guard-Shooting Guard,6'3,75,6,3,205,Right,Texas A&M University,Seagoville,,,,,,1/11/12,2 years,2,1/15/88,1988,25,25y 0m 326d 18H 0M 0S,"Shreveport, Louisiana",Shreveport,Louisiana,USA,"Dallas, Texas",Dallas,Texas,12;12;15;15,"Signed July 3, 2013 for an assumed minimum salary for 2 years.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-Atlanta Hawks, 2012-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2012-2013-poptip uni_square-color:#ffffff;background-color:#8b0000;border-color:#ffd700;-Cleveland Cavaliers, 2012-2013-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ffd700;-Indiana Pacers, 2014",http://www.basketball-reference.com/players/s/sloando01.html,12/7/13 15:54
smithgr02,smithgr02,Gregory Smith,,Center,6'10,82,6,10,250,Right,"California State University, Fresno",Westwind Academy,,,,,,2/19/12,2 years,2,1/8/91,1991,22,22y 0m 333d 12H 0M 0S,"Vallejo, California",Vallejo,California,USA,"Phoenix, Arizona",Phoenix,Arizona,0;4,"Signed February 8, 2012 for an assumed minimum salary for 3 years.  2013-14 is not guaranteed.","poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2012-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2013-2014",http://www.basketball-reference.com/players/s/smithgr02.html,12/7/13 15:54
smithis01,smithis01,Ishmael Larry Smith,,Point Guard,6'0,72,6,0,175,Right,Wake Forest University,Central Cabarrus,,,,,,10/26/10,3 years,3,7/5/88,1988,25,25y 0m 154d 18H 0M 0S,"Charlotte, North Carolina",Charlotte,North Carolina,USA,"Concord, North Carolina",Concord,North Carolina,13;5;12;10;15;3,"Signed August 16, 2012 for an assumed $2,854,389 for 3 years.  2014-15 is not guaranteed.","poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2011-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2011-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ffd700;-Golden State Warriors, 2012-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2012-2013-poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ff0000;-Milwaukee Bucks, 2013-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff8c00;-Phoenix Suns, 2014",http://www.basketball-reference.com/players/s/smithis01.html,12/7/13 15:54
smithja02,smithja02,Jason Victor Smith,@smittycurler,Power Forward-Center,7'0,84,7,0,240,Right,Colorado State University,Platte Valley,Miami Heat,1st round 20th pick 20th overall,20,1,20,10/31/07,5 years,5,3/2/86,1986,27,27y 0m 280d 6H 0M 0S,"Greeley, Colorado",Greeley,Colorado,USA,"Kersey, Colorado",Kersey,Colorado,14;14;14;14,"Signed December 16, 2011 for an assumed $7,500,000 for 3 years.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Philadelphia 76ers, 2008-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Philadelphia 76ers, 2010-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2011-2013-poptip uni_square-color:#ffffff;background-color:#00008b;border-color:#ffd700;-New Orleans Pelicans, 2014",http://www.basketball-reference.com/players/s/smithja02.html,12/7/13 15:54
smithjo03,smithjo03,Joshua Smith,@TooSmoove5,Power Forward-Small Forward,6'9,81,6,9,225,Left,,Oak Hill Academy,Atlanta Hawks,1st round 17th pick 17th overall,17,1,17,11/3/04,9 years,9,12/5/85,1985,28,28y 0m 2d 0H 0M 0S,"College Park, Georgia",College Park,Georgia,USA,"Mouth of Wilson, Virginia",Mouth of Wilson,Virginia,5;5;6,"Signed July 10, 2013 for an assumed $54,000,000 for 4 years.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Atlanta Hawks, 2005-2007-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-Atlanta Hawks, 2008-2013-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff0000;-Detroit Pistons, 2014",http://www.basketball-reference.com/players/s/smithjo03.html,12/7/13 15:54
smithjr01,smithjr01,Earl Smith III,@TheRealJRSmith,Shooting Guard-Small Forward,6'6,78,6,6,220,Right,,Saint Benedicts Preparatory School,New Orleans Hornets,1st round 18th pick 18th overall,18,1,18,11/3/04,9 years,9,9/9/85,1985,28,28y 0m 89d 0H 0M 0S,"Freehold, New Jersey",Freehold,New Jersey,USA,"Newark, New Jersey",Newark,New Jersey,23;23;1;1;5;8,"Signed July 10, 2013 for an assumed $17,947,125 for 3 years.  Contract includes a 15% Trade Kicker.  2015-16 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#008080;border-color:#800080;-New Orleans Hornets, 2005-poptip uni_square-color:#ffffff;background-color:#008080;border-color:#800080;-New Orleans/Oklahoma City Hornets, 2006-poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#0000cd;-Denver Nuggets, 2007-2008-poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#000080;-Denver Nuggets, 2009-poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#000080;-Denver Nuggets, 2010-2011-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2012-2014",http://www.basketball-reference.com/players/s/smithjr01.html,12/7/13 15:54
snellto01,snellto01,Tony Snell,,Shooting Guard,6'7,79,6,7,200,Right,University of New Mexico,King,Chicago Bulls,1st round 20th pick 20th overall,20,1,20,NA,Rookie,0,11/10/91,1991,22,22y 0m 27d 12H 0M 0S,"Riverside, California",Riverside,California,USA,"Riverside, California",Riverside,California,20,"Signed July 10, 2013.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Chicago Bulls, 2014",http://www.basketball-reference.com/players/s/snellto01.html,12/7/13 15:54
southja01,southja01,James Southerland,,Small Forward,6'8,80,6,8,215,Right,,,,,,,,11/29/13,Rookie,0,4/28/90,1990,23,23y 0m 223d 6H 0M 0S,"Queens, New York",Queens,New York,USA,,,,31,,"poptip uni_square-color:#ffffff;background-color:#000080;border-color:#add8e6;-Charlotte Bobcats, 2014",http://www.basketball-reference.com/players/s/southja01.html,12/7/13 15:54
speigma01,speigma01,Marreese Speights,@Mospeights16,Center-Power Forward,6'10,82,6,10,245,Right,University of Florida,Hargrave Military Academy,Philadelphia 76ers,1st round 16th pick 16th overall,16,1,16,10/31/08,5 years,5,8/4/87,1987,26,26y 0m 125d 12H 0M 0S,"St Petersburg, Florida",St Petersburg,Florida,USA,"Chatham, Virginia",Chatham,Virginia,16;16;5;15;5,"Signed July 12, 2013 for an assumed $10,972,500 for 3 years.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Philadelphia 76ers, 2009-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Philadelphia 76ers, 2010-2011-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2012-2013-poptip uni_square-color:#ffffff;background-color:#8b0000;border-color:#ffd700;-Cleveland Cavaliers, 2013-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ffd700;-Golden State Warriors, 2014",http://www.basketball-reference.com/players/s/speigma01.html,12/7/13 15:54
splitti01,splitti01,Tiago Splitter,@tiagosplitter,Center-Power Forward,6'11,83,6,11,232,Right,,,San Antonio Spurs,1st round 28th pick 28th overall,28,1,28,11/1/10,3 years,3,1/1/85,1985,28,28y 0m 340d 0H 0M 0S,"Joinville, Brazil",Joinville,,Brazil,,,,22,"Signed July 13, 2013 for an assumed $36,000,000 for 4 years.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2011-2014",http://www.basketball-reference.com/players/s/splitti01.html,12/7/13 15:54
stephla01,stephla01,Lance Stephenson Jr.,@StephensonLance,Shooting Guard,6'5,77,6,5,210,Right,University of Cincinnati,Abraham Lincoln,Indiana Pacers,2nd round 10th pick 40th overall,40,2,10,2/27/11,3 years,3,9/5/90,1990,23,23y 0m 93d 6H 0M 0S,"Brooklyn, New York",Brooklyn,New York,USA,"Brooklyn, New York",Brooklyn,New York,6;1,"Signed July 22, 2010 for an assumed $3,360,000 for 4 years.  2013-14 is now fully guaranteed.  2013-14 includes $75,000 in likely incentives.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ffd700;-Indiana Pacers, 2011-2012-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ffd700;-Indiana Pacers, 2013-2014",http://www.basketball-reference.com/players/s/stephla01.html,12/7/13 15:54
stiemgr01,stiemgr01,Gregory Stiemsma,@gregstiemsma,Center,6'11,83,6,11,260,Right,University of Wisconsin,Randolph,,,,,,12/28/11,2 years,2,9/26/85,1985,28,28y 0m 72d 0H 0M 0S,"Randolph, Wisconsin",Randolph,Wisconsin,USA,"Randolph, Wisconsin",Randolph,Wisconsin,54;34;34,"Signed July 10, 2013 for an assumed $2,676,000 for 1 year.","poptip uni_square-color:#008000;background-color:#ffffff;border-color:#008000;-Boston Celtics, 2012-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2013-poptip uni_square-color:#ffffff;background-color:#00008b;border-color:#ffd700;-New Orleans Pelicans, 2014",http://www.basketball-reference.com/players/s/stiemgr01.html,12/7/13 15:54
stoneju01,stoneju01,Julyan Ray Stone,@J_Stone1zero,Shooting Guard-Point Guard,6'6,78,6,6,200,Right,University of Texas at El Paso,Dos Pueblos,,,,,,1/11/12,2 years,2,12/7/88,1988,24,24y 0m 365d 0H 0M 0S,"Alexandria, Virginia",Alexandria,Virginia,USA,"Goleta, California",Goleta,California,10;77,"Signed September 18, 2013 for an assumed minimum salary for 2 years.  2013-14 is partially guaranteed for $100,000.","poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#000080;-Denver Nuggets, 2012-2013-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2014",http://www.basketball-reference.com/players/s/stoneju01.html,12/7/13 15:54
stoudam01,stoudam01,Amar'e Carsares Stoudemire,@Amareisreal,Power Forward-Center,6'10,82,6,10,245,Right,,Cypress Creek,Phoenix Suns,1st round 9th pick 9th overall,9,1,9,10/30/02,11 years,11,11/16/82,1982,31,31y 0m 21d 6H 0M 0S,"Lake Wales, Florida",Lake Wales,Florida,USA,"Orlando, Florida",Orlando,Florida,32;1;1,"Signed July 8, 2010 for an assumed $99,743,996 for 5 years.  2014-15 is an ETO.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff4500;-Phoenix Suns, 2003-2006-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff4500;-Phoenix Suns, 2007-2010-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2011-2014",http://www.basketball-reference.com/players/s/stoudam01.html,12/7/13 15:54
stuckro01,stuckro01,Rodney Norvell Stuckey,,Point Guard-Shooting Guard,6'5,77,6,5,205,Right,Eastern Washington University,Kentwood,Detroit Pistons,1st round 15th pick 15th overall,15,1,15,12/21/07,6 years,6,4/21/86,1986,27,27y 0m 230d 6H 0M 0S,"Seattle, Washington",Seattle,Washington,USA,"Kent, Washington",Kent,Washington,3,"Signed December 17, 2011 for an assumed $25,500,000 for 3 years.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff0000;-Detroit Pistons, 2008-2014",http://www.basketball-reference.com/players/s/stuckro01.html,12/7/13 15:54
sullija01,sullija01,Jared Sullinger,@Jared_Sully0,Power Forward,6'9,81,6,9,280,Right,Ohio State University,Northland,Boston Celtics,1st round 21st pick 21st overall,21,1,21,10/30/12,1 year,1,3/4/92,1992,21,21y 0m 277d 18H 0M 0S,"Columbus, Ohio",Columbus,Ohio,USA,"Columbus, Ohio",Columbus,Ohio,7,"Signed July 3, 2012.  Team Option for 2014-15 picked up on October 29, 2013.","poptip uni_square-color:#008000;background-color:#ffffff;border-color:#008000;-Boston Celtics, 2013-2014",http://www.basketball-reference.com/players/s/sullija01.html,12/7/13 15:54
tayloje03,tayloje03,Jeffery Matthew Taylor,,Small Forward,6'7,79,6,7,225,Right,Vanderbilt University,Hobbs,Charlotte Bobcats,2nd round 1st pick 31st overall,31,2,1,11/3/12,1 year,1,5/23/89,1989,24,24y 0m 198d 0H 0M 0S,"Norkopping, Sweden",Norkopping,,Sweden,"Hobbs, New Mexico",Hobbs,New Mexico,44,"Signed July 13, 2012 for an assumed $2,279,115 for 3 years.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#add8e6;-Charlotte Bobcats, 2013-2014",http://www.basketball-reference.com/players/t/tayloje03.html,12/7/13 15:54
tayloty01,tayloty01,Tyshawn Jamar Taylor,@tyshawntaylor,Point Guard,6'3,75,6,3,185,Right,University of Kansas,Saint Anthony,Portland Trail Blazers,2nd round 11th pick 41st overall,41,2,11,11/5/12,1 year,1,4/12/90,1990,23,23y 0m 239d 6H 0M 0S,"Hoboken, New Jersey",Hoboken,New Jersey,USA,"Jersey City, New Jersey",Jersey City,New Jersey,41;10,"Signed July 7, 2012 for an assumed minimum salary for 2 years.","poptip uni_square-color:#000000;background-color:#ffffff;border-color:#000000;-Brooklyn Nets, 2013-poptip uni_square-color:#000000;background-color:#ffffff;border-color:#000000;-Brooklyn Nets, 2014",http://www.basketball-reference.com/players/t/tayloty01.html,12/7/13 15:54
teaguje01,teaguje01,Jeffrey Demarco Teague,@Teague0,Point Guard,6'2,74,6,2,180,Right,Wake Forest University,Pike,Atlanta Hawks,1st round 19th pick 19th overall,19,1,19,10/28/09,4 years,4,6/10/88,1988,25,25y 0m 179d 18H 0M 0S,"Indianapolis, Indiana",Indianapolis,Indiana,USA,"Indianapolis, Indiana",Indianapolis,Indiana,0,"Offer sheet was matched on July 13, 2013 for an assumed $32,000,000 for 4 years.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-Atlanta Hawks, 2010-2014",http://www.basketball-reference.com/players/t/teaguje01.html,12/7/13 15:54
teaguma01,teaguma01,Marquis Devante Teague,@marquisteague25,Shooting Guard-Point Guard,6'2,74,6,2,189,Right,University of Kentucky,Pike,Chicago Bulls,1st round 29th pick 29th overall,29,1,29,11/2/12,1 year,1,2/28/93,1993,20,20y 0m 282d 0H 0M 0S,"Indianapolis, Indiana",Indianapolis,Indiana,USA,"Indianapolis, Indiana",Indianapolis,Indiana,25,"Signed August 8, 2012.  Team Option for 2014-15 picked up on October 30, 2013.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Chicago Bulls, 2013-2014",http://www.basketball-reference.com/players/t/teaguma01.html,12/7/13 15:54
teletmi01,teletmi01,Mizra Teletovic,,Small Forward-Power Forward,6'8,80,6,8,235,Right,,,,,,,,11/5/12,1 year,1,9/18/85,1985,28,28y 0m 80d 0H 0M 0S,"Mostar, Bosnia",Mostar,,Bosnia,,,,33,"Signed July 16, 2012 for an assumed $9,687,150 for 3 years.","poptip uni_square-color:#000000;background-color:#ffffff;border-color:#000000;-Brooklyn Nets, 2013-2014",http://www.basketball-reference.com/players/t/teletmi01.html,12/7/13 15:54
templga01,templga01,Garrett Bartholomew Temple,@GTemp14,Shooting Guard-Point Guard,6'6,78,6,6,190,Right,Louisiana State University,Louisiana State University Laboratory School,,,,,,2/9/10,3 years,3,5/8/86,1986,27,27y 0m 213d 6H 0M 0S,"Baton Rouge, Louisiana",Baton Rouge,Louisiana,USA,"Baton Rouge, Louisiana",Baton Rouge,Louisiana,2;17;2;41;41;17,"Signed July 10, 2013 for an assumed minimum salary for 1 year.","poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2010-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#000000;-Sacramento Kings, 2010-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2010-2011-poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ff0000;-Milwaukee Bucks, 2011-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#ff4500;-Charlotte Bobcats, 2011-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000080;-Washington Wizards, 2013-2014",http://www.basketball-reference.com/players/t/templga01.html,12/7/13 15:54
terryja01,terryja01,Jason Eugene Terry,,Shooting Guard-Point Guard,6'2,74,6,2,176,Right,University of Arizona,Franklin,Atlanta Hawks,1st round 10th pick 10th overall,10,1,10,11/2/99,14 years,14,9/15/77,1977,36,36y 0m 83d 0H 0M 0S,"Seattle, Washington",Seattle,Washington,USA,"Seattle, Washington",Seattle,Washington,31;31;4;31,"Signed July 17, 2012 for an assumed $15,675,000 for 3 years.  Trade bonus counts as $400,313 in each of 2013-14 and 2014-15.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Atlanta Hawks, 2000-2004-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#0000ff;-Dallas Mavericks, 2005-2012-poptip uni_square-color:#008000;background-color:#ffffff;border-color:#008000;-Boston Celtics, 2013-poptip uni_square-color:#000000;background-color:#ffffff;border-color:#000000;-Brooklyn Nets, 2014",http://www.basketball-reference.com/players/t/terryja01.html,12/7/13 15:54
thabeha01,thabeha01,Hasheem Thabeet,@HasheemTheDream,Center,7'3,87,7,3,263,Right,University of Connecticut,,Memphis Grizzlies,1st round 2nd pick 2nd overall,2,1,2,10/28/09,4 years,4,2/16/87,1987,26,26y 0m 294d 12H 0M 0S,"Dar es Salaam, Tanzania",Dar es Salaam,,Tanzania,,,,34;32;34;34,"Signed July 11, 2012 for an assumed $3,650,000 for 3 years.  2014-15 is not guaranteed.  2013-14 is partially guaranteed for $500,000.","poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2010-2011-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2011-2012-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Portland Trail Blazers, 2012-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#00008b;-Oklahoma City Thunder, 2013-2014",http://www.basketball-reference.com/players/t/thabeha01.html,12/7/13 15:54
thomais02,thomais02,Isaiah Thomas,@Isaiah_Thomas2,Point Guard,5'9,69,5,9,185,Left,University of Washington,South Kent School,Sacramento Kings,2nd round 30th pick 60th overall,60,2,30,12/26/11,2 years,2,2/7/89,1989,24,24y 0m 303d 0H 0M 0S,"Tacoma, Washington",Tacoma,Washington,USA,"South Kent, Connecticut",South Kent,Connecticut,22,"Signed December 9, 2011 for an assumed minimum salary for 3 years.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#000000;-Sacramento Kings, 2012-2014",http://www.basketball-reference.com/players/t/thomais02.html,12/7/13 15:54
thomala01,thomala01,Lance Thomas,@slangmagic,Small Forward-Power Forward,6'8,80,6,8,225,Right,Duke University,Saint Benedicts Preparatory School,,,,,,12/28/11,2 years,2,4/24/88,1988,25,25y 0m 226d 18H 0M 0S,"Brooklyn, New York",Brooklyn,New York,USA,"Newark, New Jersey",Newark,New Jersey,42;42,"Signed August 21, 2013 for an assumed minimum salary for 2 years.  2014-15 was not guaranteed.  2013-14 was not fully guaranteed.  Waived November 12, 2013.","poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2012-2013-poptip uni_square-color:#ffffff;background-color:#00008b;border-color:#ffd700;-New Orleans Pelicans, 2014",http://www.basketball-reference.com/players/t/thomala01.html,12/7/13 15:54
thompho01,thompho01,Hollis Thompson,,Small Forward,6'8,80,6,8,206,Right,,,,,,,,11/1/13,Rookie,0,4/3/91,1991,22,22y 0m 248d 12H 0M 0S,"Los Angeles, California",Los Angeles,California,USA,,,,31,,"poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Philadelphia 76ers, 2014",http://www.basketball-reference.com/players/t/thompho01.html,12/7/13 15:54
thompja02,thompja02,Jason Carlton Thompson,@jtthekid,Power Forward-Center,6'11,83,6,11,250,Right,Rider University,Lenape,Sacramento Kings,1st round 12th pick 12th overall,12,1,12,10/29/08,5 years,5,7/21/86,1986,27,27y 0m 139d 6H 0M 0S,"Camden, New Jersey",Camden,New Jersey,USA,"Medford, New Jersey",Medford,New Jersey,34,"Signed July 12, 2012 for an assumed $30,187,500 for 5 years.  2016-17 is partially guaranteed for $2,650,000.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#000000;-Sacramento Kings, 2009-2014",http://www.basketball-reference.com/players/t/thompja02.html,12/7/13 15:54
thompkl01,thompkl01,Klay Alexander Thompson,@KlayThompson,Shooting Guard,6'7,79,6,7,205,Right,Washington State University,,Golden State Warriors,1st round 11th pick 11th overall,11,1,11,12/25/11,2 years,2,2/8/90,1990,23,23y 0m 302d 6H 0M 0S,"Los Angeles, California",Los Angeles,California,USA,,,,11,"Signed December 13, 2011.  Team Option for 2013-14 picked up on October 5, 2012.  Team Option for 2014-15 picked up on October 25, 2013.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ffd700;-Golden State Warriors, 2012-2014",http://www.basketball-reference.com/players/t/thompkl01.html,12/7/13 15:54
thomptr01,thomptr01,Tristan Trevor James Thompson,@RealTristan13,Power Forward,6'8,80,6,8,225,Left,University of Texas at Austin,Findlay College Prep,Cleveland Cavaliers,1st round 4th pick 4th overall,4,1,4,12/26/11,2 years,2,3/13/91,1991,22,22y 0m 269d 12H 0M 0S,"Toronto, Canada",Toronto,,Canada,"Henderson, Nevada",Henderson,Nevada,13,"Signed December 9, 2011.  Team Option for 2013-14 picked up on October 19, 2012.  Team Option for 2014-15 picked up on October 23, 2013.","poptip uni_square-color:#ffffff;background-color:#8b0000;border-color:#ffd700;-Cleveland Cavaliers, 2012-2014",http://www.basketball-reference.com/players/t/thomptr01.html,12/7/13 15:54
thornma01,thornma01,Marcus Terrell Thornton,@OfficialMT23,Shooting Guard,6'4,76,6,4,205,Right,Louisiana State University,Tara,Miami Heat,2nd round 13th pick 43rd overall,43,2,13,11/6/09,4 years,4,6/5/87,1987,26,26y 0m 185d 12H 0M 0S,"Baton Rouge, Louisiana",Baton Rouge,Louisiana,USA,"Baton Rouge, Louisiana",Baton Rouge,Louisiana,5;23,"Signed December 9, 2011 for an assumed $31,150,000 for 4 years.","poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2010-2011-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#000000;-Sacramento Kings, 2011-2014",http://www.basketball-reference.com/players/t/thornma01.html,12/7/13 15:54
tinslja01,tinslja01,Jamaal Tinsley,,Point Guard,6'3,75,6,3,195,Right,Iowa State University,Samuel J Tilden,Memphis Grizzlies,1st round 27th pick 27th overall,27,1,27,10/30/01,10 years,10,2/28/78,1978,35,35y 0m 282d 6H 0M 0S,"Brooklyn, New York",Brooklyn,New York,USA,"Brooklyn, New York",Brooklyn,New York,11;10;6,"Signed October 26, 2013 for an assumed minimum salary for 1 year.  2013-14 was not fully guaranteed.  Waived November 12, 2013.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ffd700;-Indiana Pacers, 2002-2008-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2010-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#006400;-Utah Jazz, 2012-2014",http://www.basketball-reference.com/players/t/tinslja01.html,12/7/13 15:54
tollian01,tollian01,Anthony Lamar Tolliver,@ATolliver44,Power Forward-Small Forward,6'8,80,6,8,240,Right,Creighton University,Kickapoo,,,,,,11/7/08,5 years,5,6/1/85,1985,28,28y 0m 189d 0H 0M 0S,"Springfield, Missouri",Springfield,Missouri,USA,"Springfield, Missouri",Springfield,Missouri,35;44;44;44;4;43,"Signed August 19, 2013 for an assumed minimum salary for 1 year.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2009-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Portland Trail Blazers, 2010-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#ff4500;-Golden State Warriors, 2010-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2011-2012-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-Atlanta Hawks, 2013-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#add8e6;-Charlotte Bobcats, 2014",http://www.basketball-reference.com/players/t/tollian01.html,12/7/13 15:54
tuckepj01,tuckepj01,Anthony Leon Tucker,,Small Forward-Shooting Guard,6'5,77,6,5,225,Right,University of Texas at Austin,Enloe,Toronto Raptors,2nd round 5th pick 35th overall,35,2,5,11/1/06,2 years,2,5/5/85,1985,28,28y 0m 216d 0H 0M 0S,"Raleigh, North Carolina",Raleigh,North Carolina,USA,"Raleigh, North Carolina",Raleigh,North Carolina,1;17;17,"Signed July 31, 2012 for an assumed minimum salary for 2 years.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2007-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff4500;-Phoenix Suns, 2013-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff8c00;-Phoenix Suns, 2014",http://www.basketball-reference.com/players/t/tuckepj01.html,12/7/13 15:54
turiaro01,turiaro01,Ronny Turiaf,@RonnyTuriaf14,Center-Power Forward,6'10,82,6,10,249,Right,Gonzaga University,Institut National du Sport et de lEducation Physique,Los Angeles Lakers,2nd round 7th pick 37th overall,37,2,7,2/8/06,8 years,8,1/13/83,1983,30,30y 0m 328d 12H 0M 0S,"Le Robert, Martinique",Le Robert,,Martinique,"Paris, France",Paris,France,21;21;14;21;21;21;32,"Signed July 18, 2013 for an assumed $3,000,000 for 2 years.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ffd700;-Los Angeles Lakers, 2006-2008-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#ff4500;-Golden State Warriors, 2009-2010-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2011-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000080;-Washington Wizards, 2012-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#8b0000;-Miami Heat, 2012-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Los Angeles Clippers, 2013-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2014",http://www.basketball-reference.com/players/t/turiaro01.html,12/7/13 15:54
